POINTID,Bdfine (g cm-3),SOCS (kg cm-2),coarse_vol,GPS_LAT,GPS_LONG,BDfine  method 
35582326,1.19 ,5.24 ,0.14 ,43.60931726,0.544197796,Measurement
46764408,0.96 ,4.35 ,0.05 ,62.61726073,16.8973501,Measurement
51464814,0.79 ,6.33 ,0.01 ,65.47282706,27.90997649,Measurement
29901692,1.17 ,2.06 ,0.08 ,37.1270662,-4.96256813,Measurement
31841902,1.06 ,2.77 ,0.02 ,39.31878416,-3.181327101,Measurement
39362548,1.10 ,4.55 ,0.06 ,45.92931444,5.038418728,Measurement
39262766,0.97 ,6.00 ,0.04 ,47.88050618,4.716922483,Measurement
35462962,1.10 ,3.59 ,0.06 ,49.26298062,-0.688407264,Measurement
50604374,0.79 ,4.38 ,0.04 ,61.80040215,24.06814191,Measurement
27961830,0.95 ,1.80 ,0.16 ,37.97854304,-7.400866372,Measurement
40002632,0.71 ,8.81 ,0.01 ,46.71970533,5.802811322,Measurement
46183002,1.21 ,3.31 ,0.09 ,50.05475108,14.14931752,Measurement
39482622,0.96 ,5.61 ,0.06 ,46.60128209,5.132734481,Measurement
64061610,0.79 ,3.89 ,0.05 ,34.7291124,32.8867757,Measurement
40062742,1.12 ,5.11 ,0.04 ,47.71115212,5.802309939,Measurement
54862104,0.97 ,14.43 ,0.05 ,41.06948324,23.88928781,Measurement
52862002,0.72 ,6.29 ,0.10 ,40.46179716,21.37052127,Measurement
35942542,1.30 ,2.58 ,0.12 ,45.58011604,0.670798632,Measurement
43742350,0.54 ,10.18 ,0.01 ,44.25825215,10.66227597,Measurement
30621992,1.17 ,0.95 ,0.03 ,39.91638711,-4.751535251,Measurement
31801876,1.06 ,2.18 ,0.06 ,39.08089992,-3.179979156,Measurement
31522114,1.21 ,1.28 ,0.05 ,41.15155675,-3.956201251,Measurement
32521750,1.19 ,2.01 ,0.20 ,38.06390851,-2.152138702,Measurement
38222384,0.88 ,6.61 ,0.09 ,44.37872409,3.743210506,Measurement
42483322,1.32 ,3.13 ,0.07 ,53.00161124,8.912649459,Measurement
32802152,1.31 ,0.81 ,0.01 ,41.69112376,-2.521254712,Measurement
36362452,0.99 ,3.92 ,0.02 ,44.82125798,1.332826802,Measurement
33762184,1.06 ,3.02 ,0.04 ,42.11346876,-1.435645722,Measurement
35302114,1.29 ,2.28 ,0.04 ,41.68025264,0.508493297,Measurement
47364080,0.31 ,12.90 ,0.01 ,59.62706261,17.35272327,Measurement
30062134,1.11 ,1.49 ,0.14 ,41.0708043,-5.70589643,Measurement
46102910,1.30 ,4.33 ,0.08 ,49.23286222,13.96940478,Measurement
49544434,1.03 ,7.79 ,0.02 ,62.5077981,22.30554483,Measurement
41302764,1.07 ,4.25 ,0.05 ,47.95985668,7.443340415,Measurement
38722690,0.30 ,19.46 ,0.03 ,47.16194492,4.076053964,Measurement
47622700,0.78 ,8.37 ,0.03 ,47.25734612,15.82881114,Measurement
37082380,1.11 ,4.22 ,0.08 ,44.24725936,2.326397519,Measurement
52463652,1.33 ,1.82 ,0.03 ,55.12545434,24.60970576,Measurement
32181928,1.12 ,2.17 ,0.11 ,39.6029146,-2.839143791,Measurement
41482416,0.94 ,1.69 ,0.06 ,44.8326796,7.815856171,Measurement
45742568,0.78 ,3.18 ,0.13 ,46.17494248,13.27374174,Measurement
38762644,1.00 ,5.81 ,0.04 ,46.75213894,4.174613991,Measurement
38822584,0.84 ,4.58 ,0.12 ,46.21784913,4.31070666,Measurement
27181846,1.35 ,1.25 ,0.10 ,37.95506483,-8.303628792,Measurement
52181902,0.60 ,7.53 ,0.14 ,39.65509885,20.43056344,Measurement
44042974,1.03 ,3.98 ,0.05 ,49.87265039,11.15452498,Measurement
47084016,0.89 ,7.66 ,0.07 ,59.07955729,16.74697275,Measurement
54201884,1.37 ,1.78 ,0.07 ,39.21667912,22.71602688,Measurement
45904180,0.86 ,5.07 ,0.03 ,60.63665682,14.90539561,Measurement
43382422,1.07 ,3.83 ,0.09 ,44.9093402,10.21488607,Measurement
47263030,1.64 ,4.47 ,0.07 ,50.24081614,15.68335177,Measurement
38462664,1.08 ,3.73 ,0.06 ,46.9095945,3.762250717,Measurement
39262484,1.36 ,2.32 ,0.04 ,45.34810607,4.963161117,Measurement
51103642,0.48 ,11.06 ,0.01 ,55.26601836,22.47820792,Measurement
51023782,0.96 ,12.54 ,0.02 ,56.51427458,22.75380354,Measurement
30862278,1.28 ,1.87 ,0.12 ,42.48837614,-5.087097448,Measurement
48702706,1.54 ,2.39 ,0.04 ,47.22534899,17.25654116,Measurement
44624422,0.65 ,4.82 ,0.01 ,62.87560031,12.75856556,Measurement
31422166,1.08 ,2.62 ,0.01 ,41.59572898,-4.179988647,Measurement
34002136,1.05 ,2.29 ,0.16 ,41.71743086,-1.070035724,Measurement
27821838,1.11 ,3.11 ,0.02 ,38.02012413,-7.574821012,Measurement
52224494,0.40 ,16.07 ,0.02 ,62.52333726,27.6369432,Measurement
35722746,0.64 ,7.42 ,0.02 ,47.37395465,0.055579765,Measurement
30702108,1.29 ,1.01 ,0.09 ,40.95759161,-4.902290201,Measurement
34402298,1.15 ,4.59 ,0.04 ,43.21550139,-0.855190638,Measurement
64541646,0.76 ,1.92 ,0.15 ,34.91069873,33.49219425,Measurement
32661818,1.04 ,13.13 ,0.09 ,38.69205793,-2.104795753,Measurement
27741830,1.04 ,2.55 ,0.15 ,37.93306867,-7.644974287,Measurement
31821784,1.01 ,2.68 ,0.06 ,38.26360279,-2.994925427,Measurement
36702298,1.21 ,2.72 ,0.05 ,43.47622944,1.957334344,Measurement
48823460,1.13 ,2.08 ,0.07 ,53.94787336,18.56595411,Measurement
34502056,1.26 ,2.32 ,0.06 ,41.06625291,-0.35427787,Measurement
51843370,1.03 ,2.08 ,0.00 ,52.74926754,22.85748289,Measurement
40723226,1.17 ,6.99 ,0.02 ,52.08797324,6.365525391,Measurement
29661672,1.19 ,1.92 ,0.05 ,36.90664205,-5.187727211,Measurement
31361940,0.93 ,2.10 ,0.08 ,39.58014852,-3.800346437,Measurement
29002384,0.52 ,10.17 ,0.09 ,43.05724983,-7.57465414,Measurement
48524748,0.76 ,4.97 ,0.01 ,65.44789893,21.42706975,Measurement
51404520,0.71 ,5.76 ,0.05 ,62.9261748,26.21533669,Measurement
32022132,1.06 ,4.30 ,0.10 ,41.39277987,-3.404599865,Measurement
33822298,0.99 ,9.26 ,0.02 ,43.13760798,-1.560665625,Measurement
51004476,0.62 ,10.49 ,0.04 ,62.62142284,25.24984906,Measurement
32062006,1.38 ,2.40 ,0.10 ,40.2790401,-3.11875917,Measurement
28602334,0.80 ,13.95 ,0.03 ,42.53533642,-7.918251953,Measurement
45582678,0.43 ,10.15 ,0.04 ,47.17059578,13.12465934,Measurement
50163370,0.75 ,11.18 ,0.02 ,52.99002925,20.3899939,Measurement
46924438,0.95 ,2.63 ,0.05 ,62.87153093,17.27050678,Measurement
31261876,1.03 ,3.06 ,0.06 ,38.9946174,-3.793156285,Measurement
50924742,0.95 ,4.30 ,0.00 ,64.96478267,26.39221521,Measurement
47984874,0.80 ,1.71 ,0.03 ,66.6470298,20.73942128,Measurement
31462364,0.74 ,6.20 ,0.13 ,43.35403028,-4.558130301,Measurement
36782730,1.31 ,2.29 ,0.03 ,47.34997706,1.474676558,Measurement
34041988,1.14 ,4.51 ,0.06 ,40.39990946,-0.789881314,Measurement
47642916,1.14 ,5.05 ,0.03 ,49.19212478,16.08411895,Measurement
51143330,0.69 ,4.73 ,0.02 ,52.50173071,21.7362909,Measurement
41603342,0.66 ,19.91 ,0.01 ,53.16225708,7.592558458,Measurement
32262300,1.22 ,2.79 ,0.03 ,42.92178696,-3.453487214,Measurement
51223648,1.17 ,2.65 ,0.02 ,55.30023405,22.68122749,Measurement
31341872,0.95 ,2.98 ,0.11 ,38.97204808,-3.69494841,Measurement
53264616,0.56 ,7.74 ,0.04 ,63.32554472,30.28879654,Measurement
40343302,1.32 ,3.48 ,0.07 ,52.75132418,5.746898234,Measurement
49963038,0.94 ,4.98 ,0.02 ,50.06204599,19.45605252,Measurement
35482492,1.01 ,5.59 ,0.04 ,45.0806032,0.166603395,Measurement
32522074,0.99 ,4.44 ,0.06 ,40.95488283,-2.70821843,Measurement
43622366,0.99 ,4.35 ,0.06 ,44.40338918,10.51363085,Measurement
43622348,0.84 ,5.87 ,0.01 ,44.24106382,10.51216942,Measurement
51783760,1.41 ,4.49 ,0.05 ,56.1943176,23.89551729,Measurement
43083270,1.33 ,4.13 ,0.02 ,52.53906787,9.808404767,Measurement
28402306,0.62 ,10.10 ,0.04 ,42.24770771,-8.080119232,Measurement
54382232,1.06 ,3.33 ,0.04 ,42.28336772,23.57939823,Measurement
37902328,0.62 ,7.56 ,0.10 ,43.85098999,3.40205689,Measurement
50584756,0.76 ,5.27 ,0.02 ,65.15743985,25.76709141,Measurement
37282474,0.64 ,10.68 ,0.03 ,45.108092,2.462950617,Measurement
30301704,1.12 ,2.52 ,0.04 ,37.30339101,-4.543990157,Measurement
45882618,0.81 ,8.12 ,0.05 ,46.61897682,13.48384238,Measurement
46782946,0.51 ,8.74 ,0.03 ,49.51895076,14.93369025,Measurement
44943874,0.94 ,3.49 ,0.03 ,57.93590108,12.91710018,Measurement
30582258,1.30 ,1.13 ,0.15 ,42.2610028,-5.375380291,Measurement
35342964,0.91 ,5.28 ,0.02 ,49.26498453,-0.855740284,Measurement
39082798,1.18 ,3.75 ,0.04 ,48.15569618,4.445680177,Measurement
47461998,1.14 ,2.31 ,0.06 ,40.95393894,15.02968861,Measurement
39382432,0.82 ,4.08 ,0.03 ,44.88774181,5.156753077,Measurement
33962088,1.22 ,1.36 ,0.19 ,41.28348703,-1.039972574,Measurement
34162184,1.23 ,2.75 ,0.02 ,42.16698777,-0.95736262,Measurement
53081962,0.70 ,10.58 ,0.05 ,40.07441335,21.56113911,Measurement
51044766,0.38 ,17.59 ,0.03 ,65.14870157,26.76824668,Measurement
32541738,1.06 ,2.19 ,0.04 ,37.95942201,-2.110420044,Measurement
28362360,0.99 ,6.20 ,0.08 ,42.71064701,-8.274261006,Measurement
36042956,0.74 ,7.35 ,0.06 ,49.28239798,0.113370469,Measurement
29082342,0.68 ,7.62 ,0.05 ,42.70634398,-7.368023646,Measurement
32802920,0.87 ,8.71 ,0.05 ,48.48869715,-4.177689764,Measurement
41762422,0.99 ,2.03 ,0.02 ,44.8935298,8.167459137,Measurement
48723124,1.51 ,4.43 ,0.05 ,50.96054871,17.85988883,Measurement
33202038,0.96 ,6.60 ,0.03 ,40.7334734,-1.849754281,Measurement
38522782,1.24 ,3.86 ,0.02 ,47.97190832,3.713392288,Measurement
35082924,1.14 ,5.65 ,0.04 ,48.87499279,-1.128261506,Measurement
45042534,1.21 ,6.16 ,0.05 ,45.89276465,12.35523249,Measurement
33762144,1.04 ,3.05 ,0.05 ,41.75668885,-1.368309875,Measurement
49164374,0.31 ,11.75 ,0.01 ,62.03354457,21.38049584,Measurement
49224492,1.05 ,5.84 ,0.03 ,63.0708991,21.89861189,Measurement
51122668,1.10 ,8.27 ,0.02 ,46.627605,20.35678385,Measurement
31642018,1.15 ,2.95 ,0.06 ,40.31899691,-3.627536102,Measurement
51944466,0.74 ,5.31 ,0.02 ,62.3415302,26.97194508,Measurement
45562960,0.66 ,14.68 ,0.05 ,49.70575596,13.25861695,Measurement
30902242,1.50 ,1.81 ,0.05 ,42.17768568,-4.958807241,Measurement
40442880,1.08 ,8.77 ,0.02 ,48.96914578,6.215918187,Measurement
51723994,0.93 ,4.08 ,0.05 ,58.26006012,24.59226717,Measurement
39082754,1.14 ,5.03 ,0.10 ,47.76103095,4.48856212,Measurement
47822830,1.14 ,4.35 ,0.01 ,48.40811053,16.23266131,Measurement
46982080,0.95 ,2.88 ,0.10 ,41.72103322,14.51633438,Measurement
44143298,0.54 ,22.93 ,0.00 ,52.78292374,11.37836254,Measurement
40202910,1.11 ,3.63 ,0.09 ,49.22692242,5.86608105,Measurement
52942010,0.91 ,4.84 ,0.07 ,40.52238842,21.47664014,Measurement
29822380,0.54 ,10.51 ,0.05 ,43.18949591,-6.578738779,Measurement
33062106,1.10 ,2.84 ,0.06 ,41.31976164,-2.1313643,Measurement
50464206,0.74 ,4.60 ,0.08 ,60.34493647,23.18225055,Measurement
31902120,0.98 ,4.50 ,0.09 ,41.26697817,-3.522286794,Measurement
51184832,0.49 ,4.61 ,0.12 ,65.69281143,27.43313001,Measurement
45902272,0.62 ,13.91 ,0.12 ,43.50305337,13.31884542,Measurement
29402258,0.72 ,4.56 ,0.08 ,42.03481527,-6.774328411,Measurement
30562194,1.12 ,1.40 ,0.08 ,41.69254596,-5.254408503,Measurement
37142694,1.18 ,3.27 ,0.02 ,47.06429994,1.998335467,Measurement
45243306,1.40 ,1.71 ,0.01 ,52.82493007,13.01236388,Measurement
32702304,1.00 ,5.35 ,0.02 ,43.02672448,-2.929831194,Measurement
53443794,1.19 ,6.85 ,0.03 ,56.17676218,26.6322183,Measurement
52721908,0.98 ,1.56 ,0.09 ,39.63991425,21.06078941,Measurement
28562290,0.94 ,8.62 ,0.07 ,42.14205449,-7.848472302,Measurement
52383540,1.14 ,3.99 ,0.03 ,54.15637776,24.1378577,Measurement
46482866,1.28 ,4.83 ,0.03 ,48.8183053,14.45442829,Measurement
48982838,1.46 ,4.18 ,0.01 ,48.38057606,17.80274576,Measurement
39103154,1.43 ,3.20 ,0.06 ,51.34722646,4.093561989,Measurement
44923902,1.19 ,4.99 ,0.01 ,58.18816487,12.90341614,Measurement
39442712,0.91 ,3.15 ,0.15 ,47.40709823,5.004297303,Measurement
49442934,1.17 ,5.30 ,0.04 ,49.19213605,18.56726007,Measurement
32822060,0.79 ,6.93 ,0.05 ,40.87492741,-2.332009998,Measurement
52882004,1.09 ,2.26 ,0.08 ,40.47695664,21.39703083,Measurement
36582404,0.84 ,4.54 ,0.12 ,44.41416032,1.673156437,Measurement
42823644,0.75 ,3.18 ,0.02 ,55.89861239,9.376956583,Measurement
45764468,0.90 ,3.12 ,0.10 ,63.23246424,15.05238658,Measurement
49162664,1.43 ,4.04 ,0.01 ,46.80745406,17.80444364,Measurement
50284232,1.07 ,7.26 ,0.01 ,60.60403422,22.95275729,Measurement
45383972,0.49 ,8.26 ,0.02 ,58.79761429,13.74847259,Measurement
32902116,1.08 ,3.49 ,0.01 ,41.38550002,-2.337744877,Measurement
48124750,0.70 ,3.99 ,0.02 ,65.52258754,20.58766125,Measurement
29982246,1.22 ,2.53 ,0.03 ,42.04278576,-6.059310471,Measurement
33902280,0.55 ,6.49 ,0.06 ,42.98828912,-1.432051886,Measurement
53561644,0.97 ,3.72 ,0.07 ,37.16224415,21.60785898,Measurement
37243036,1.14 ,2.02 ,0.03 ,50.1292666,1.630650835,Measurement
48904906,0.55 ,5.56 ,0.05 ,66.79024261,22.91075903,Measurement
40963282,1.46 ,3.73 ,0.01 ,52.60087972,6.677943824,Measurement
51323126,1.00 ,1.97 ,0.01 ,50.66934003,21.52612875,Measurement
30001684,1.16 ,1.96 ,0.02 ,37.07348634,-4.836980239,Measurement
46742916,1.24 ,3.06 ,0.04 ,49.25222939,14.85169399,Measurement
49161826,0.95 ,2.01 ,0.04 ,39.28180645,16.86572425,Measurement
32082012,0.98 ,4.32 ,0.11 ,40.33554714,-3.106694226,Measurement
31261890,1.05 ,1.94 ,0.05 ,39.11915912,-3.819500869,Measurement
50143404,1.01 ,2.19 ,0.05 ,53.2944935,20.43373805,Measurement
43343818,1.33 ,2.37 ,0.00 ,57.46399253,10.21634835,Measurement
49142992,1.25 ,3.41 ,0.03 ,49.74061307,18.24555865,Measurement
35522766,1.30 ,2.67 ,0.10 ,47.5275654,-0.242450148,Measurement
31721768,0.86 ,3.63 ,0.02 ,38.10539658,-3.079373462,Measurement
51163280,0.84 ,2.36 ,0.01 ,52.05620138,21.64758679,Measurement
28822118,1.13 ,2.32 ,0.14 ,40.68811571,-7.108326512,Measurement
36762164,0.88 ,5.14 ,0.16 ,42.27969243,2.191430257,Measurement
30242236,0.87 ,6.24 ,0.07 ,42.003966,-5.728090546,Measurement
45362200,0.95 ,3.08 ,0.08 ,42.87299179,12.62401753,Measurement
42083224,0.56 ,9.07 ,0.02 ,52.11432488,8.350276881,Measurement
45203924,1.18 ,4.13 ,0.03 ,58.37466557,13.39672929,Measurement
31141652,1.24 ,10.30 ,0.28 ,36.97886558,-3.522155397,Measurement
36182272,1.28 ,4.28 ,0.02 ,43.1911521,1.354147621,Measurement
37562394,0.79 ,7.03 ,0.05 ,44.41546353,2.908395354,Measurement
32521944,1.31 ,1.29 ,0.07 ,39.79664597,-2.476821747,Measurement
50822946,1.32 ,3.71 ,0.05 ,49.13884157,20.46705064,Measurement
28282334,0.68 ,9.43 ,0.04 ,42.46625999,-8.298033609,Measurement
34121886,1.24 ,2.63 ,0.04 ,39.49677715,-0.545302656,Measurement
51724832,1.06 ,3.48 ,0.02 ,65.56795863,28.55829312,Measurement
