segment_id,latitude,longitude,elevation_m,road_length_m,distance_to_water_body_m,road_age_years,pavement_thickness_cm,surface_crack_density_pct,pavement_condition_index,rut_depth_mm,surface_deformation_mm,avg_daily_traffic,heavy_vehicle_pct,traffic_load_index,avg_vehicle_speed_kmh,soil_moisture_pct,soil_density_g_cm3,soil_bearing_capacity_kpa,groundwater_depth_m,soil_porosity_pct,soil_settlement_mm,void_ratio,annual_rainfall_mm,max_daily_rainfall_mm,flood_frequency_per_year,temperature_variation_c,drainage_efficiency,waterlogging_duration_hr,underground_pipe_density,pipe_age_years,pipe_leakage_index,distance_to_pipeline_m,utility_excavation_count,sewer_condition_index,historical_collapse_count,distance_to_previous_collapse_m,nearby_construction_intensity,building_density_per_km2,land_subsidence_rate_mm_year,spatial_vulnerability_index,collapse_risk_level
URC_00001,12.9685,80.1999,17.4317,742.8552,1289.4449,38,47.0487,26.0328,68.2612,19.4228,29.4367,28180,27.3312,0.4778,60.5047,18.4752,2.28,475.6889,13.4999,30.5411,29.4227,0.5651,2046.1502,200.4469,7,36.4316,0.6094,31.7975,0.3386,62,0.7563,12.5334,6,28.8416,4,0.2914,0.4253,3217,15.4479,0.379,Moderate
URC_00002,13.2278,80.274,50.6837,1220.1364,2305.7402,36,31.1725,26.0201,59.5578,24.3748,38.0989,42294,31.2672,0.5704,55.8443,46.2877,1.4508,269.4729,15.1171,40.0424,90.7988,0.9207,1865.0159,167.1363,5,10.5407,0.7532,27.9219,0.4158,48,0.6464,4.055,6,51.4012,6,30.0558,0.8414,6414,21.0489,0.5407,Critical
URC_00003,13.1294,80.2188,44.9881,1782.6259,936.0304,41,39.9136,24.0789,60.2464,19.0356,25.9511,31151,4.852,0.3139,72.2311,17.6387,1.1522,385.8766,18.9869,37.1569,18.0631,0.6597,1504.6621,158.3957,7,30.4376,0.4453,28.9516,0.292,55,0.6675,54.1709,2,52.2362,7,270.3085,0.5614,16003,14.2988,0.5589,High
URC_00004,13.0694,80.075,33.7712,576.5554,898.3834,47,19.4341,31.7262,44.197,22.6763,52.126,78236,38.7238,0.8233,32.199,25.1433,2.326,476.6818,15.3308,29.2342,47.0373,0.6341,674.2763,14.5603,7,12.1429,0.4684,38.642,0.7259,45,0.7574,39.1724,11,57.2266,3,146.6805,0.7002,10881,11.5072,0.478,High
URC_00005,12.8702,80.1057,20.8831,280.4993,2337.2045,48,40.1001,19.925,74.4606,26.2233,54.1487,10147,30.1912,0.3944,62.0875,45.9443,1.2682,309.6563,13.4508,51.1247,65.2931,1.1798,858.8408,87.2748,5,38.0164,0.5114,36.232,0.3237,48,0.4653,39.7681,3,55.2554,5,57.2474,0.3447,16852,20.4809,0.5302,Critical
URC_00006,12.8702,80.1158,39.4076,304.9898,218.6338,23,27.866,10.0184,71.7701,8.3933,30.9764,72572,33.2809,0.7333,48.2598,43.6754,2.0446,277.3408,12.7089,27.9035,59.1858,0.6265,1346.3629,172.1194,8,18.7818,0.4107,42.929,0.1755,76,0.8503,16.1831,7,30.864,4,23.937,0.215,4190,15.1963,0.345,High
URC_00007,12.8261,80.1274,11.3985,1014.9634,468.3976,31,27.6319,41.1941,48.0762,20.6208,63.1766,22681,21.2595,0.4306,63.9427,10.4807,2.3107,454.187,20.5726,25.2806,8.4195,0.5117,1248.2037,180.4497,1,14.73,0.8756,6.4517,0.8384,73,0.9878,25.072,12,22.8691,7,124.325,0.8988,13758,16.9943,0.6191,Moderate
URC_00008,13.1898,80.2196,37.9189,1477.6657,2012.7737,2,30.6859,0.0,97.8751,4.1714,5.8614,95902,34.2746,0.8518,36.3861,51.6605,1.2945,230.0002,7.6775,42.7594,81.6176,0.5953,1574.6831,157.4076,8,4.8539,0.4264,47.1481,0.769,80,1.0,18.5072,12,7.1905,5,138.598,0.2539,2149,28.1748,0.3933,High
URC_00009,13.0705,80.2012,36.1357,1331.6526,2178.7615,4,26.4405,15.5288,95.102,3.8607,26.2539,98142,16.8993,0.7237,33.2702,57.5787,1.1114,229.8014,7.0459,41.8037,104.6683,0.708,939.8217,181.7358,7,7.2506,0.4112,32.8575,0.4734,36,0.5883,15.222,8,66.2743,2,937.4961,0.4747,3234,27.3272,0.3835,High
URC_00010,13.1186,80.1109,23.1839,935.0845,615.6654,34,33.0078,20.6062,60.6145,28.2212,38.1605,59096,4.9128,0.3984,41.2022,32.3974,1.2332,402.7797,9.3056,45.3287,43.4256,0.7809,1476.6458,181.9019,4,35.0037,0.6428,30.6875,0.1147,32,0.3306,12.8428,0,61.5566,3,120.6285,0.7176,948,15.4643,0.3987,Moderate
